ticker,cik,name
SPY,884394,SPDR S&P 500 ETF TRUST
CYATY,2070829,"Contemporary Amperex Technology Co., Limited/ADR"
QQQ,1067839,"INVESCO QQQ TRUST, SERIES 1"
DTEGY,946770,DEUTSCHE TELEKOM AG
RTNTF,887028,RIO TINTO LTD
SAN,891478,"Banco Santander, S.A."
HTHIY,47710,HITACHI LTD
UTX,2046954,Ultratrex Inc.
GLD,1222333,SPDR GOLD TRUST
BBVA,842180,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
IAU,1278680,ISHARES GOLD TRUST
BAESY,895564,BAE SYSTEMS PLC /FI/
MGCLY,2039784,"Midea Group Co., Ltd./ADR"
KXIAY,2053383,Kioxia Holdings Corporation/ADR
IFNNY,1107457,INFINEON TECHNOLOGIES AG
LSEGY,1842726,London Stock Exchange Group plc
BMWKY,1446250,Bayerische Motoren Werke AG/ADR
AED,2057673,Brand Meditech Ltd
CSLLY,1274152,CSL LTD
SCMWY,1069336,SWISSCOM AG
TYHOY,2018139,Toyota Tsusho Corporation/ADR
GALDY,2021390,Galderma Group AG/ADR
GWLIF,850918,GREAT-WEST LIFECO INC.
GBTC,1588489,Grayscale Bitcoin Trust ETF
PTCAY,1547873,PT Chandra Asri Petrochemical Tbk/ADR
DIA,1041130,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST
KBGGY,1535759,Kongsberg Gruppen ASA/ADR
MDY,936958,SPDR S&P MIDCAP 400 ETF TRUST
CUK,1125259,CARNIVAL PLC
CHLSY,1885110,Chocoladefabriken Lindt & Spruengli AG/ADR
DLMAY,2073893,Dollarama Inc./ADR
FSNUY,904868,Fresenius SE & Co. KGaA
CKHGF,1469059,Capitec Bank Holdings Ltd / ADR
TS,1190723,TENARIS SA
GELHY,1474968,Geely Automobile Holdings Limited/ADR
RSHGY,1447391,RESONA HOLDINGS INC
SLV,1330568,iShares Silver Trust
TELNY,1126113,TELENOR ASA
FUJIY,800365,FUJI PHOTO FILM CO LTD /FI
EDPFY,1039610,EDP ENERGIAS DE PORTUGAL SA
HKHHY,1142231,HEINEKEN HOLDING N V
PHYS,1477049,Sprott Physical Gold Trust
TRMOY,2071881,Tourmaline Oil Corp/ADR
BJGPY,2098425,"Beijing Geekplus Technology Co., Ltd./ADR"
WTKWY,861967,WOLTERS KLUWER N V /FI
NPXYY,2019040,Nippon Sanso Holdings Corporation/ADR
SOAGY,1715801,Sartorius AG/ADR
PSLV,1494728,Sprott Physical Silver Trust
LPGCY,2068440,Laopu Gold Co. Ltd./ADR
KSPI,1985487,Joint Stock Co Kaspi.kz
YARIY,1279956,YARA INTERNATIONAL ASA
USO,1327068,"United States Oil Fund, LP"
ARNNY,1719117,ASR Nederland N.V./ADR
PUGBY,2029472,Puig Brands S.A./ADR
CRRFY,1078642,CARREFOUR SA
DSEEY,1481045,Daiwa Securities Group Inc.
UUGRY,1440130,United Utilities Group plc
VARRY,1919275,Var Energi ASA/ADR
OBICY,2077146,"OBIC Co., Ltd./ADR"
DLAKY,1049724,DEUTSCHE LUFTHANSA A G /FI
BF-A,14693,BROWN FORMAN CORP
PMDIY,2013003,Pro Medicus Ltd./ADR
KAIKY,1447126,Kawasaki Kisen Kaisha Ltd
NCLTY,1801729,"Nitori Holdings Co., Ltd."
BPYPP,1545772,Brookfield Property Partners L.P.
HMY,1023514,HARMONY GOLD MINING CO LTD
SPIIY,2083221,SPIE SA/ADR
CEF,1726122,Sprott Physical Gold & Silver Trust
BZLFY,1072397,BUNZL PLC
LLYVA,2078416,"Liberty Live Holdings, Inc."
ELPC,1041792,ENERGY CO OF PARANA
SOTGY,1601992,Sunny Optical Technology (Group) Co Limited/ADR
GWKSY,2062522,GAMES WORKSHOP GROUP PLC/ADR
SNROY,1584273,"Sanrio Company, Ltd./ADR"
TX,1342874,Ternium S.A.
PDI,1510599,PIMCO Dynamic Income Fund
MINBY,1034983,MINEBEA MITSUMI Inc.
SHMXY,1648512,Shimadzu Corporation/ADR
LOTMY,2041918,Lottomatica Group S.p.A./ADR
VFS,1913510,VinFast Auto Ltd.
CMS-PB,201533,CONSUMERS ENERGY CO
SFGYY,2084022,Sony Financial Group Inc./ADR
UELMO,100826,UNION ELECTRIC CO
TKMTY,2044863,"Tokyo Metro Co., Ltd./ADR"
OTF,1747777,Blue Owl Technology Finance Corp.
YKLTY,1538118,"Yakult Honsha Co., LTD/ADR"
BTDPY,1516324,Barratt Developments PLC/ADR
NWSGY,1449664,CTF Services Ltd
SLFPY,1370418,STANDARD LIFE PLC
PNDRY,1505880,Pandora A/S / ADR
HAPVY,1869666,Hapvida Participacoes e Investimentos S.A./ADR
PAM,1469395,Pampa Energy Inc.
MBRFY,1496919,MARFRIG GLOBAL FOODS S.A.
ERELY,1454144,Eregli Demir ve Celik Fabrikalari TAS/ADR
ADOOY,1489079,Adaro Energy PT/ADR/
IFHLY,2035057,Inficon Holding AG/ADR
NGXXF,2044153,NGEx Minerals Ltd.
MAUTF,1830918,Montage Gold Corp.
AKO-A,925261,ANDINA BOTTLING CO INC
NEXHY,1985406,"Nippon Express Holdings, Inc./ADR"
DNP,806628,DNP SELECT INCOME FUND INC
EBOSY,1533082,EBOS Group Limited/ADR
UTG,1263994,REAVES UTILITY INCOME FUND
HPHTY,1600928,Hamamatsu Photonics K.K./ADR
NEA,1195737,Nuveen AMT-Free Quality Municipal Income Fund
DBC,1328237,Invesco DB Commodity Index Tracking Fund
PTXKY,1545057,PT XLSMART Telecom Sejahtera Tbk/ADR
SMSEY,1560968,Samsonite International SA/ADR
CSQ,1275214,CALAMOS STRATEGIC TOTAL RETURN FUND
JPC,1216583,Nuveen Preferred & Income Opportunities Fund
NAD,1083839,Nuveen Quality Municipal Income Fund
BBAR,913059,Banco BBVA Argentina S.A.
ADX,2230,"ADAMS DIVERSIFIED EQUITY FUND, INC."
EXG,1379438,Eaton Vance Tax-Managed Global Diversified Equity Income Fund
HYPMY,1486749,Hypermarcas S.A.
DRSHF,1671541,DroneShield Ltd
NVG,1090116,Nuveen AMT-Free Municipal Credit Income Fund
SHTPY,2018852,SCHOTT Pharma AG & Co. KGaA/ADR
DRD,1023512,DRDGOLD LTD
UTF,1275617,COHEN & STEERS INFRASTRUCTURE FUND INC
FXCNY,1164009,FIH Mobile Ltd
TMTNY,2072098,Toromont Industries Ltd./ADR
GDV,1260729,GABELLI DIVIDEND & INCOME TRUST
NZF,1137887,Nuveen Municipal Credit Income Fund
TSCFY,1555815,Tisco Financial Group Public Co Limited/ADR
BMRRY,1671235,B&M European Value Retail S.A./ADR
KYN,1293613,"Kayne Anderson Energy Infrastructure Fund, Inc."
GOF,1380936,GUGGENHEIM STRATEGIC OPPORTUNITIES FUND
PTY,1190935,PIMCO CORPORATE & INCOME OPPORTUNITY FUND
FMCXF,1105122,FORAN MINING CORP
COPR,1263364,Idaho Copper Corp
ETY,1340736,Eaton Vance Tax-Managed Diversified Equity Income Fund
AEBZY,1174511,ANADOLU EFES BIRACILIK VE MALT SANAYI A S/ADR
CLM,814083,"Cornerstone Strategic Investment Fund, Inc."
RVT,804116,"ROYCE SMALL-CAP TRUST, INC."
AVVSY,2082141,Avio S.p.A./ADR
AEGXF,1309167,Aecon Group Inc.
GSG,1332174,iShares S&P GSCI Commodity-Indexed Trust
NUV,812801,NUVEEN MUNICIPAL VALUE FUND INC
EYUBY,1562294,Electricity Generating Public Co Limited/ADR
EVT,1253327,Eaton Vance Tax-Advantaged Dividend Income Fund
NAC,1074952,Nuveen California Quality Municipal Income Fund
PDO,1798618,PIMCO Dynamic Income Opportunities Fund
SXGCF,1622629,Southern Cross Gold Consolidated Ltd.
GAB,794685,GABELLI EQUITY TRUST INC
RQI,1157842,COHEN & STEERS QUALITY INCOME REALTY FUND INC
AILIH,18654,Ameren Illinois Co
USA,799195,LIBERTY ALL STAR EQUITY FUND
TY,99614,TRI-CONTINENTAL Corp
STEW,102426,"SRH Total Return Fund, Inc."
ETV,1322436,Eaton Vance Tax-Managed Buy-Write Opportunities Fund
OSSUY,1437545,Embla Medical HF/ADR
MDCOY,2094100,PT Medco Energi Internasional Tbk/ADR
ETG,1270523,Eaton Vance Tax-Advantaged Global Dividend Income Fund
BRKK,2074160,Barentsz Capital Ltd
BDJ,1332283,BlackRock Enhanced Equity Dividend Trust
BCAT,1809541,BlackRock Capital Allocation Term Trust
BSTZ,1768666,BlackRock Science & Technology Term Trust
BTT,1528437,BlackRock Municipal 2030 Target Term Trust
CET,18748,CENTRAL SECURITIES CORP
BXMX,1298699,Nuveen S&P 500 BuyWrite Income Fund
GAM,40417,GENERAL AMERICAN INVESTORS CO INC
ELE,2086771,Elemental Royalty Corp
ECAT,1864843,BlackRock ESG Capital Allocation Term Trust
HYT,1222401,"BLACKROCK CORPORATE HIGH YIELD FUND, INC."
LNXSY,1311307,LANXESS AG
SFDMY,1493507,Shanghai Fudan Microelectronics Co Limited/ADR/
EBCRY,1969796,Embracer Group AB/ADR
BST,1616678,BlackRock Science & Technology Trust
QQQX,1608741,Nuveen NASDAQ 100 Dynamic Overwrite Fund
AZULQ,1432364,AZUL SA
PAEXY,2073620,Parex Resources Inc./ADR
DSL,1566388,DoubleLine Income Solutions Fund
MSDL,1782524,Morgan Stanley Direct Lending Fund
ASA,1230869,ASA Gold & Precious Metals Ltd
RSRBF,1974551,Robex Resources Inc.
RKGRY,2093907,RENK Group AG/ADR
NMZ,1266585,NUVEEN MUNICIPAL HIGH INCOME OPPORTUNITY FUND
