permaTicker,ticker,name,isActive,isADR,sector,industry,sicCode,sicSector,sicIndustry,reportingCurrency,location,companyWebsite,secFilingWebsite,statementLastUpdated,dailyLastUpdated,dataProviderPermaTicker,status_metadata,status_prices,status_fundamentals,last_update,bootstrap_date
US000000002244,BBBY,Beyond Inc,True,False,Consumer Discretionary,Retail,,,,usd,,,,2026-02-26T15:18:23.136Z,2026-03-21T01:20:49.205Z,195902.0,success,success,pending,,2026-03-22
US000000000247,a,Agilent Technologies Inc,True,False,Industrials,Manufacturing,,,,usd,,,,2026-03-04T02:01:03.140Z,2026-03-21T02:02:07.231Z,196290.0,success,success,pending,,2026-03-22
US000000000091,aa,Alcoa Corp,True,False,Industrials,Manufacturing,,,,usd,,,,2026-02-27T15:01:01.515Z,2026-03-21T01:23:04.595Z,124392.0,success,success,pending,,2026-03-22
US000000057010,aaab,ADMIRALTY BANCORP INC,False,False,Ghost (Unmapped),Ghost (Unmapped),,,,usd,,,,2024-07-30T14:55:15.502Z,2024-07-30T14:55:16.369Z,122827.0,failed_no_cik_mapping,success_empty,pending,,2026-03-22
US000000067899,aaagy,ALTANA AKTIENGESELLSCHAFT Foreign,False,True,Ghost (Unmapped),Ghost (Unmapped),,,,eur,,,,2024-07-30T14:55:18.814Z,2024-07-30T14:55:19.709Z,120538.0,failed_no_cik_mapping,success_empty,pending,,2026-03-22
US000000013210,aaap,Advanced Accelerator Applications SA,False,True,Ghost (Unmapped),Ghost (Unmapped),,,,eur,,,,2024-07-30T14:55:22.534Z,2026-01-07T18:19:50.634Z,155760.0,failed_no_cik_mapping,success,pending,,2026-03-22
US000000040990,aabc,ACCESS ANYTIME BANCORP INC,False,False,Ghost (Unmapped),Ghost (Unmapped),,,,usd,,,,2024-07-30T14:55:32.515Z,2024-07-30T14:55:33.749Z,165444.0,failed_no_cik_mapping,success_empty,pending,,2026-03-22
US000000094541,aac,Ares Acquisition Corporation - Class A,False,False,Ghost (Unmapped),Ghost (Unmapped),,,,usd,,,,2024-07-30T14:55:36.592Z,2024-07-30T14:55:39.504Z,633208.0,failed_no_cik_mapping,success,pending,,2026-03-22
US000000009823,aac,American Addiction Centers,False,False,Ghost (Unmapped),Ghost (Unmapped),,,,,,,,2021-04-05T22:01:56.682Z,2021-04-19T20:41:37.359Z,,failed_no_cik_mapping,success,pending,,2026-03-22
US000000091806,aac-u,Ares Acquisition Corporation - Units (1 Ord Share Class A & 1/5 War),False,False,Ghost (Unmapped),Ghost (Unmapped),,,,,,,,2021-02-05T23:02:40.510Z,2021-10-07T20:41:21.885Z,,failed_no_cik_mapping,success,pending,,2026-03-22
